config,mode,profile,netem_profile,netem_seed,window,repeat,duration_s,num_workers,num_completed_tasks,num_pending_tasks,mean_ewma_tokens_per_sec,mean_ewma_step_time_s
config.yaml,ml,cellular,cellular,1,0,1,38.199,2,2,0,,
config.yaml,ml,cellular,cellular,1,0,2,36.851,2,2,0,,
config.yaml,ml,cellular,cellular,1,0,3,36.490,2,2,0,,
